session_date,total_sessions,new_users,total_pageviews,bounce_rate_pct,avg_session_duration,sessions_7day_avg,is_anomaly,anomaly_score,severity
2026-03-22,468,107,2489,50.64,256.97,468.0,False,-0.11755384664461094,low
2026-03-23,368,105,1713,62.5,234.11,418.0,False,-0.027592879139496818,low
2026-03-24,747,188,3357,40.16,289.39,527.67,False,-0.10276776164261092,low
2026-03-25,362,113,1372,43.92,322.85,486.25,False,-0.10023125918484138,low
2026-03-26,595,140,2946,63.19,280.92,508.0,False,-0.16991665024596542,low
2026-03-27,580,168,2595,55.69,316.02,520.0,False,-0.20976771730630295,low
2026-03-28,390,93,2302,42.31,305.99,501.43,False,-0.1392528013635133,low
2026-03-29,455,136,2120,53.41,340.01,499.57,False,-0.15680775491454102,low
2026-03-30,317,59,1464,26.81,394.82,492.29,False,-0.01685959584329888,low
2026-03-31,612,147,3067,45.42,299.41,473.0,False,-0.17733296358089407,low
2026-04-01,657,106,2779,44.44,249.87,515.14,False,-0.09210656334146133,low
2026-04-02,396,159,1965,63.38,370.31,486.71,False,-0.09689633200948333,low
2026-04-03,610,171,2017,29.18,326.29,491.0,False,-0.14215935457295364,low
2026-04-04,457,113,2062,37.64,298.19,500.57,False,-0.14986038493142512,low
2026-04-05,669,122,2855,48.28,398.3,531.14,False,-0.03585692715490607,low
2026-04-06,891,175,4277,50.17,333.37,613.14,True,0.0366016031673152,low
2026-04-07,476,136,2500,45.59,360.03,593.71,False,-0.12533335305960924,low
2026-04-08,389,87,1714,49.1,334.11,555.43,False,-0.14478492561411171,low
2026-04-09,664,128,2935,38.4,318.54,593.71,False,-0.19327121838129224,low
2026-04-10,532,143,2065,43.23,322.59,582.57,False,-0.17650635501472722,low
2026-04-11,625,192,2520,56.32,244.07,606.57,False,-0.10457604320630143,low
2026-04-12,604,168,2608,67.55,333.72,597.29,False,-0.19512272089042887,low
2026-04-13,351,89,1688,35.04,319.45,520.14,False,-0.12287975625308034,low
2026-04-14,639,157,3605,35.37,300.87,543.43,False,-0.07355314727292017,low
2026-04-15,838,155,3300,41.77,312.5,607.57,False,-0.10387317025106813,low
2026-04-16,557,101,2239,42.91,323.7,592.29,False,-0.19616887349601447,low
2026-04-17,381,68,1396,51.97,280.27,570.71,False,-0.07557281953767081,low
2026-04-18,643,265,3109,51.48,376.15,573.29,False,-0.10615436183326127,low
2026-04-19,594,123,2235,61.78,243.64,571.86,False,-0.09509119586113113,low
2026-04-20,280,63,1389,71.79,247.17,561.71,True,0.03423624231531652,low
2026-04-21,545,155,2578,53.03,299.8,548.29,False,-0.1958944258453425,low
2026-04-22,506,140,2744,42.89,314.7,500.86,False,-0.1839920188517694,low
2026-04-23,406,132,1234,51.72,308.02,479.29,False,-0.07165180930033177,low
2026-04-24,622,97,2910,50.96,334.14,513.71,False,-0.19718592163436466,low
2026-04-25,394,90,1780,49.49,344.93,478.14,False,-0.13011971118602694,low
2026-04-26,419,134,2331,66.59,251.32,453.14,False,-0.09846946791414674,low
2026-04-27,669,186,3148,53.66,326.66,508.71,False,-0.18607693833799654,low
2026-04-28,367,68,1591,26.7,333.85,483.29,False,-0.13271184281341086,low
2026-04-29,564,148,2259,53.19,255.5,491.57,False,-0.13648393239606177,low
2026-04-30,566,208,2722,68.55,312.57,514.43,False,-0.20538377280734582,low
2026-05-01,565,169,2345,41.59,348.27,506.29,False,-0.16017869951989028,low
2026-05-02,791,139,3571,58.15,320.58,563.0,False,-0.09270547082081215,low
2026-05-03,922,305,4654,66.81,352.38,634.86,True,0.09754733191272325,medium
2026-05-04,661,165,3364,45.54,326.19,633.71,False,-0.1708215819541145,low
2026-05-05,367,123,1922,61.31,274.25,633.71,False,-0.09612398259436872,low
2026-05-06,560,191,2517,40.0,291.61,633.14,False,-0.19243500556148863,low
2026-05-07,711,166,3041,51.2,317.55,653.86,False,-0.1673980420294694,low
2026-05-08,454,137,2264,39.87,261.5,638.0,False,-0.11901976997191238,low
2026-05-09,649,197,3341,52.7,306.01,617.71,False,-0.15929953680540992,low
2026-05-10,471,169,2373,67.73,236.46,553.29,False,-0.0674699181930839,low
2026-05-11,494,118,2183,44.13,384.71,529.43,False,-0.07385870540223949,low
2026-05-12,722,187,3105,53.19,294.52,580.14,False,-0.1355555121657141,low
2026-05-13,669,176,2746,44.25,325.18,595.71,False,-0.19057922589625814,low
2026-05-14,593,185,2876,46.54,283.4,578.86,False,-0.17918491782431162,low
2026-05-15,438,75,1608,49.32,362.5,576.57,False,-0.0922712768714114,low
2026-05-16,556,150,2131,34.53,286.18,563.29,False,-0.1668400018995827,low
2026-05-17,233,108,649,55.36,341.21,529.29,True,0.11795651480097458,medium
2026-05-18,506,170,2762,63.64,333.87,531.0,False,-0.17984524340260982,low
2026-05-19,623,156,2670,28.57,383.88,516.86,False,-0.08968556423608887,low
2026-05-20,551,134,2177,24.32,280.03,500.0,False,-0.17326393561025588,low
2026-05-21,535,135,2222,53.64,289.04,491.71,False,-0.1820202794206054,low
2026-05-22,547,128,2500,58.5,315.53,507.29,False,-0.20857765518385762,low
2026-05-23,785,229,3455,53.89,357.51,540.0,False,-0.09249155572276424,low
2026-05-24,675,189,2941,25.48,356.3,603.14,False,-0.1556169061372356,low
